"_id","id","artists","metascore","release_date","sort_no","summary","title","user_score","Unnamed: 0","track_id","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
"ObjectId(""67ffc98dcede12a7f93492c5"")",1538,"Loretta Lynn",97,"April 27, 2004",4,"It's been over 40 years since she released her first album (and four since her last, 2000's 'Still Country'), but the coal miner's daughter returns to the spotlight with this 13-track effort (all Lynn-penned originals), produced by The White Stripes' Jack White.","Van Lear Rose","8.4",19575,"57ltwsHkFOIlblAUF0gUQ0","Christmas Country Songs 2022","Country Christmas",0,126120,false,0.783,0.386,9,-10.36,1,0.0395,0.795,0.0000492,0.129,0.834,99.322,4,"country"
"ObjectId(""67ffc98dcede12a7f93492c6"")",37516,"Fiona Apple",98,"April 17, 2020",2,"The fifth full-length studio release for the alternative singer-songwriter was self-produced and features contributions from Davíd Garza, Sebastian Steinberg, and Amy Aileen Wood.","Fetch the Bolt Cutters","8.1",79647,"6PNvv1dmDbOWrAYwEcuKBX","Tidal","Criminal",63,341533,false,0.595,0.804,7,-7.911,0,0.0326,0.0129,0.0000197,0.299,0.586,89.846,4,"piano"
"ObjectId(""67ffc98dcede12a7f93492c7"")",37516,"Fiona Apple",98,"April 17, 2020",2,"The fifth full-length studio release for the alternative singer-songwriter was self-produced and features contributions from Davíd Garza, Sebastian Steinberg, and Amy Aileen Wood.","Fetch the Bolt Cutters","8.1",79746,"73SBAGI4fPFm4VkB3NjXq8","Fetch The Bolt Cutters","I Want You To Love Me",59,237713,false,0.528,0.504,9,-8.821,0,0.09,0.559,0.0414,0.0936,0.712,141.369,3,"piano"
"ObjectId(""67ffc98dcede12a7f93492c8"")",37516,"Fiona Apple",98,"April 17, 2020",2,"The fifth full-length studio release for the alternative singer-songwriter was self-produced and features contributions from Davíd Garza, Sebastian Steinberg, and Amy Aileen Wood.","Fetch the Bolt Cutters","8.1",79966,"6ZQgooEk8PvsLxedYaT6Oa","Pleasantville -Music From The Motion Picture","Across the Universe",60,307333,false,0.578,0.481,4,-10.545,1,0.0317,0.431,0.00299,0.0951,0.548,129.881,4,"piano"
"ObjectId(""67ffc98dcede12a7f93492c9"")",37516,"Fiona Apple",98,"April 17, 2020",2,"The fifth full-length studio release for the alternative singer-songwriter was self-produced and features contributions from Davíd Garza, Sebastian Steinberg, and Amy Aileen Wood.","Fetch the Bolt Cutters","8.1",79493,"0IVkP59yJ9GFF6B7IrvrxA","When The Pawn...","Paper Bag",65,219266,false,0.709,0.446,0,-9.904,1,0.037,0.716,0.0000239,0.11,0.843,140.993,3,"piano"
"ObjectId(""67ffc98dcede12a7f93492ca"")",1538,"Loretta Lynn",97,"April 27, 2004",4,"It's been over 40 years since she released her first album (and four since her last, 2000's 'Still Country'), but the coal miner's daughter returns to the spotlight with this 13-track effort (all Lynn-penned originals), produced by The White Stripes' Jack White.","Van Lear Rose","8.4",19580,"1TcnfbJfTuPsycLXNbLWlA","Best 70s Rock Tunes","I Love You, I Love You",0,160050,false,0.565,0.234,7,-8.089,1,0.0286,0.723,0.000354,0.0854,0.484,85.274,3,"country"
"ObjectId(""67ffc98dcede12a7f93492cb"")",1538,"Loretta Lynn",97,"April 27, 2004",4,"It's been over 40 years since she released her first album (and four since her last, 2000's 'Still Country'), but the coal miner's daughter returns to the spotlight with this 13-track effort (all Lynn-penned originals), produced by The White Stripes' Jack White.","Van Lear Rose","8.4",19573,"1QgccuE3F6F92kJUTpswy0","Best 70s Rock Tunes","I Love You, I Love You",0,160050,false,0.565,0.234,7,-8.089,1,0.0286,0.723,0.000354,0.0854,0.484,85.274,3,"country"
"ObjectId(""67ffc98dcede12a7f93492cc"")",1538,"Loretta Lynn",97,"April 27, 2004",4,"It's been over 40 years since she released her first album (and four since her last, 2000's 'Still Country'), but the coal miner's daughter returns to the spotlight with this 13-track effort (all Lynn-penned originals), produced by The White Stripes' Jack White.","Van Lear Rose","8.4",19584,"41ufY2GlLLZB5ZrTfsb0u0","Sweet Home Alabama","I Love You, I Love You",0,160050,false,0.565,0.234,7,-8.089,1,0.0286,0.723,0.000354,0.0854,0.484,85.274,3,"country"
"ObjectId(""67ffc98dcede12a7f93492cd"")",22163,"Kendrick Lamar",96,"March 16, 2015",5,"The third full-length studio release from the hip hop artist features guest appearances from Bilal, George Clinton, James Fauntleroy, Ronald Isley, Rapsody, Snoop Dogg, Thundercat, and Anna Wise.","To Pimp A Butterfly","8.9",51500,"7KXjTSCq5nL1LoYtL7XAwS","DAMN.","HUMBLE.",84,177000,true,0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,4,"hip-hop"
"ObjectId(""67ffc98dcede12a7f93492ce"")",36167,"Nick Cave & The Bad Seeds",96,"October 4, 2019",6,"The 17th full-length studio release for Australian rock band is influenced in part by the accidental death of Nick Cave's 15-year old son in 2015 and is considered the third and final part of trilogy of albums that includes 2013's Push the Sky Away and 2016's Skeleton Tree.","Ghosteen","8.6",99524,"0jVo3e34A15l6MNu1O3cfa","Let Love In (2011 - Remaster)","Red Right Hand",36,370573,false,0.735,0.403,4,-11.599,0,0.037,0.139,0.473,0.107,0.453,115.658,4,"singer-songwriter"
"ObjectId(""67ffc98dcede12a7f93492cf"")",36167,"Nick Cave & The Bad Seeds",96,"October 4, 2019",6,"The 17th full-length studio release for Australian rock band is influenced in part by the accidental death of Nick Cave's 15-year old son in 2015 and is considered the third and final part of trilogy of albums that includes 2013's Push the Sky Away and 2016's Skeleton Tree.","Ghosteen","8.6",102529,"0jVo3e34A15l6MNu1O3cfa","Let Love In (2011 - Remaster)","Red Right Hand",36,370573,false,0.735,0.403,4,-11.599,0,0.037,0.139,0.473,0.107,0.453,115.658,4,"songwriter"
"ObjectId(""67ffc98dcede12a7f93492d0"")",36167,"Nick Cave & The Bad Seeds",96,"October 4, 2019",6,"The 17th full-length studio release for Australian rock band is influenced in part by the accidental death of Nick Cave's 15-year old son in 2015 and is considered the third and final part of trilogy of albums that includes 2013's Push the Sky Away and 2016's Skeleton Tree.","Ghosteen","8.6",99707,"73ZlmJxexVebFozgZhEhkd","Abattoir Blues / The Lyre of Orpheus","O Children",33,409546,false,0.498,0.564,4,-7.016,0,0.033,0.507,0.00149,0.058,0.235,121.628,4,"singer-songwriter"
"ObjectId(""67ffc98dcede12a7f93492d1"")",36167,"Nick Cave & The Bad Seeds",96,"October 4, 2019",6,"The 17th full-length studio release for Australian rock band is influenced in part by the accidental death of Nick Cave's 15-year old son in 2015 and is considered the third and final part of trilogy of albums that includes 2013's Push the Sky Away and 2016's Skeleton Tree.","Ghosteen","8.6",102710,"73ZlmJxexVebFozgZhEhkd","Abattoir Blues / The Lyre of Orpheus","O Children",33,409546,false,0.498,0.564,4,-7.016,0,0.033,0.507,0.00149,0.058,0.235,121.628,4,"songwriter"
"ObjectId(""67ffc98dcede12a7f93492d2"")",29181,"Kendrick Lamar",95,"April 14, 2017",8,"The fourth full-length studio release for the Compton rapper features guest appearances from Rihanna, U2, and Zacari.","DAMN.","8.4",51500,"7KXjTSCq5nL1LoYtL7XAwS","DAMN.","HUMBLE.",84,177000,true,0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,4,"hip-hop"
"ObjectId(""67ffc98dcede12a7f93492d3"")",29181,"Kendrick Lamar",95,"April 14, 2017",8,"The fourth full-length studio release for the Compton rapper features guest appearances from Rihanna, U2, and Zacari.","DAMN.","8.4",51650,"0fX4oNGBWO3dSGUZcVdVV2","Mr. Morale & The Big Steppers","N95",83,195950,true,0.79,0.67,1,-5.527,1,0.105,0.377,0.00000232,0.119,0.408,139.956,4,"hip-hop"
"ObjectId(""67ffc98dcede12a7f93492d4"")",37906,"Bob Dylan",95,"June 19, 2020",10,"The first new studio release of new music for the singer-songwriter in eight years.","Rough and Rowdy Ways","7.6",19502,"6HSXNV0b4M4cLJ7ljgVVeh","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","Knockin' On Heaven's Door",73,149880,false,0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,4,"country"
